epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,194.625,1.21574,1.21784,1.13484,0.76254,0.43134,0.5512,0.33119,1.54729,1.9498,1.49164,0.000207523,0.000207523,0.000207523
2,375.182,1.18109,0.72568,1.14658,0.9374,0.89123,0.92793,0.57641,1.29231,0.65319,1.26477,0.000399388,0.000399388,0.000399388
3,559.62,1.18187,0.6938,1.14633,0.91724,0.88044,0.92578,0.55229,1.27541,0.64364,1.31292,0.000574754,0.000574754,0.000574754
4,737.844,1.19759,0.68304,1.15751,0.96051,0.92518,0.94466,0.59593,1.23896,0.53945,1.24668,0.00055075,0.00055075,0.00055075
5,926.354,1.15038,0.63422,1.14077,0.96383,0.93653,0.95071,0.60631,1.23511,0.53229,1.23821,0.000526,0.000526,0.000526
6,1111.08,1.15405,0.60968,1.12521,0.9626,0.92849,0.94739,0.60679,1.2215,0.51683,1.23904,0.00050125,0.00050125,0.00050125
7,1295.97,1.15861,0.5985,1.13595,0.96546,0.93595,0.95092,0.60672,1.24565,0.5016,1.23062,0.0004765,0.0004765,0.0004765
8,1473.65,1.12896,0.56883,1.11905,0.96712,0.93657,0.94614,0.58745,1.21079,0.49147,1.28676,0.00045175,0.00045175,0.00045175
9,1649.06,1.12276,0.55228,1.11548,0.97238,0.94338,0.95299,0.60446,1.20457,0.47328,1.25433,0.000427,0.000427,0.000427
10,1821.12,1.10777,0.55165,1.1069,0.97677,0.94705,0.95244,0.60493,1.21333,0.45624,1.25812,0.00040225,0.00040225,0.00040225
11,1994.36,1.102,0.53839,1.10717,0.96808,0.94514,0.95025,0.59377,1.20476,0.46379,1.26385,0.0003775,0.0003775,0.0003775
